CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,2HP Horsley Park,ON,438.137500,DUP-,5.400000,P25,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
1,2MB Terrey Hills,ON,438.175000,DUP-,5.000000,P25,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
2,2CG Sydney,ON,438.200000,DUP-,5.400000,P25,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
3,2WS Berowra Nort,ON,438.275000,DUP-,5.400000,P25,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
4,2HT Chatswood,ON,438.350000,DUP-,5.400000,P25,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
5,2LE Engadine,ON,438.425000,DUP-,5.000000,P25,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
6,2CF Carlingford,ON,438.450000,DUP-,5.000000,P25,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
7,2OT Paddington,ON,438.575000,DUP-,5.000000,P25,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
8,2PL Mt Nardi,ON,438.675000,DUP-,5.000000,P25,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
9,2RR Razorback,ON,439.600000,DUP-,5.000000,P25,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
10,2WK Kurrajong,ON,439.825000,DUP-,5.000000,P25,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
11,2AG Somersby,ON,439.950000,DUP-,5.000000,P25,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
