CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,3CE B Bendigo,ON,438.912500,OFF,0.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
1,3GV B Mt Wombat,ON,438.200000,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
2,3MC C Berwick,ON,146.762500,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
3,3MC B Berwick,ON,438.125000,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
4,3MC A Berwick,ON,1273.950000,DUP+,20.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
5,3MC AD Berwick,ON,1298.100000,OFF,0.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
6,3MM B Mt Macedon,ON,438.050000,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
7,3SD C Upwey,ON,146.887500,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
8,3WN C Olinda,ON,146.912500,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
9,3WN B Olinda,ON,438.300000,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
10,3WN A Olinda,ON,1273.900000,DUP+,20.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
11,3WN AD Olinda,ON,1298.300000,OFF,0.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
12,3WW B portable,ON,438.150000,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
13,3WW AD portable,ON,1298.900000,OFF,0.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
