CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,7BH Ben Lomond,ON,438.050000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
1,7IN Barren Tier,ON,438.500000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
2,7CR Lenah Valley,ON,438.525000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
3,7AB portable,ON,438.550000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
4,7AF Mt Faulkner,ON,438.550000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
5,7MD Mt Duncan,ON,438.600000,DUP-,5.000000,FM,OFF,1,TONE,141.3Hz,141.3Hz,023,BOTH N,OFF,0,,,,OFF
6,7AC Table Cape,ON,438.650000,DUP-,5.000000,FM,OFF,1,TONE,141.3Hz,141.3Hz,023,BOTH N,OFF,0,,,,OFF
7,7AK Gagebrook,ON,438.700000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
8,7EC Snow Hill,ON,439.700000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
9,7DS Mt Nelson,ON,439.750000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
10,7DR Dazzler Rang,ON,439.775000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
11,7TC Mt Wellingto,ON,439.825000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
12,7TC Mt Lloyd,ON,439.825000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
13,7TC Grey Mtn,ON,439.825000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
14,7AL Companion Hi,ON,439.900000,DUP-,5.000000,FM,OFF,1,TONE,141.3Hz,141.3Hz,023,BOTH N,OFF,0,,,,OFF
