CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,2BV Sydney,ON,438.112500,DUP-,5.400000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
1,2EE Mt Ganghat,ON,146.675000,DUP-,0.600000,C4FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
2,2EE Mt Ganghat,ON,438.325000,DUP-,5.000000,C4FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
3,2FG Gregory Hill,ON,438.650000,DUP-,7.000000,C4FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
4,2MP Maddens Plai,ON,438.725000,DUP-,5.000000,C4FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
5,2SC Parrots Nest,ON,146.800000,DUP-,0.600000,C4FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
6,3BW Mt Gisborne,ON,438.450000,DUP-,5.000000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
7,3CD Kinglake,ON,438.187500,DUP-,5.400000,C4FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
8,3DQ Outer Easter,ON,144.937500,DUP+,0.600000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
9,3DX Mt Waverley,ON,439.600000,DUP-,5.000000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
10,3FY Hillside,ON,438.400000,DUP-,5.000000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
11,3GW Grovedale,ON,438.500000,DUP-,5.000000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
12,3PS Mt Cottrell,ON,147.200000,DUP+,0.600000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
13,3PT Pretty Sally,ON,145.012500,DUP+,0.600000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
14,4CN Manoora,ON,147.300000,DUP+,0.600000,C4FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
15,4CN Manoora,ON,438.325000,DUP-,5.400000,C4FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
16,4PH Mt Haren,ON,438.225000,DUP-,5.400000,C4FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
17,4SD Malanda,ON,146.850000,DUP-,0.600000,C4FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
18,5BV Mt Kitchener,ON,146.825000,DUP-,0.600000,C4FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
19,5BV Mt Kitchener,ON,439.800000,DUP-,5.000000,C4FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
20,5CT Moonta,ON,438.325000,DUP-,5.000000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
21,5DF Crafers,ON,438.112500,DUP-,7.000000,C4FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
22,5SC Mt Terrible,ON,439.825000,DUP-,5.000000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
23,5SV Willunga Hil,ON,146.675000,DUP-,0.600000,C4FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
24,6TH Tic Hill,ON,146.800000,DUP-,0.600000,C4FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
25,8TE Larrakeyah,ON,147.000000,DUP-,0.600000,C4FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
