CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,1BM Isaacs Ridge,ON,438.812500,DUP-,7.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
1,2RW Dural,ON,438.100000,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
2,2LE Engadine,ON,438.425000,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
3,2CG Sydney,ON,439.500000,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
4,3SU Melbourne,ON,438.100000,DUP-,5.400000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
5,3WW portable,ON,438.150000,DUP-,5.400000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
6,3WW portable,ON,438.300000,DUP-,5.400000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
7,3TE Karingal,ON,438.912500,DUP-,7.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
8,3MC Narre Warren,ON,439.375000,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
9,3GL Mt Anakie,ON,439.500000,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
10,3PT Pretty Sally,ON,439.525000,DUP-,5.000000,DMR,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
11,3ZU Mt Buller,ON,439.675000,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
12,4BT Wongawallan,ON,438.712500,DUP-,7.000000,DMR,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
13,4GX Springbrook,ON,438.812500,DUP-,7.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
14,4BX The Knobby,ON,438.837500,DUP-,7.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
15,4CN Manoora,ON,147.300000,DUP+,0.600000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
16,4CN Manoora,ON,438.325000,DUP-,5.400000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
17,4EG Mt Mowbullan,ON,439.987500,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
18,6GF Kalgoorlie,ON,438.125000,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
19,4TQ Mt Kynoch,ON,439.487500,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
20,4MC Mt Coot-tha,ON,439.975000,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
21,5SF Adelaide,ON,438.837500,DUP-,7.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
22,6RR Kalamunda,ON,438.200000,DUP-,5.400000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
23,6LM Roleystone,ON,438.525000,DUP-,7.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
24,6DM Perth,ON,439.862500,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
25,7AA Mt Arthur,ON,438.412500,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
26,7CR Lenah Valley,ON,438.525000,DUP-,5.000000,DMR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
